checked_at,run_date,model,metric,valid_time,legacy_value,openmeteo_value,diff,flag
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-06-30 12:00:00,11.1,10.7,0.4,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-06-30 18:00:00,12.7,12.7,0.0,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-01 00:00:00,10.3,10.5,-0.2,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-01 06:00:00,8.0,8.0,0.0,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-01 12:00:00,8.1,7.8,0.3,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-01 18:00:00,8.4,8.3,0.1,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-02 00:00:00,10.5,10.7,-0.2,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-02 06:00:00,11.8,11.7,0.1,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-02 12:00:00,11.9,11.8,0.1,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-02 18:00:00,9.0,10.0,-1.0,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-03 00:00:00,9.2,9.5,-0.3,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-03 06:00:00,8.8,9.1,-0.3,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-03 12:00:00,8.6,8.7,-0.1,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-03 18:00:00,10.2,11.2,-1.0,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-04 00:00:00,11.0,11.2,-0.2,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-04 06:00:00,10.7,11.8,-1.1,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-04 12:00:00,11.2,12.7,-1.5,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-04 18:00:00,13.5,14.7,-1.2,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-05 00:00:00,15.0,15.9,-0.9,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-05 06:00:00,15.4,15.8,-0.4,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-05 12:00:00,16.0,15.9,0.1,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-05 18:00:00,16.5,16.5,0.0,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-06 00:00:00,16.8,17.0,-0.2,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-06 06:00:00,16.2,17.1,-0.9,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-06 12:00:00,14.9,16.8,-1.9,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-06 18:00:00,15.7,16.8,-1.1,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-07 00:00:00,13.5,17.0,-3.5,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-07 06:00:00,13.5,15.8,-2.3,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-07 12:00:00,13.2,14.6,-1.4,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-07 18:00:00,14.2,14.8,-0.6,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-08 00:00:00,15.3,15.0,0.3,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-08 06:00:00,13.0,12.9,0.1,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-08 12:00:00,12.5,13.0,-0.5,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-08 18:00:00,14.3,15.9,-1.6,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-09 00:00:00,14.4,14.2,0.2,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-09 06:00:00,15.0,14.6,0.4,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-09 12:00:00,15.7,15.3,0.4,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-09 18:00:00,15.3,17.7,-2.4,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-10 00:00:00,16.8,18.1,-1.3,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-10 06:00:00,16.8,17.5,-0.7,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-10 12:00:00,17.7,17.3,0.4,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-10 18:00:00,18.4,19.4,-1.0,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-11 00:00:00,18.9,18.3,0.6,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-11 06:00:00,18.7,18.7,0.0,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-11 12:00:00,19.1,18.6,0.5,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-11 18:00:00,21.2,15.7,5.5,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-12 00:00:00,20.2,14.0,6.2,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-12 06:00:00,18.9,12.9,6.0,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-12 12:00:00,17.1,10.7,6.4,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-12 18:00:00,17.6,11.8,5.8,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-13 00:00:00,17.9,11.3,6.6,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-13 06:00:00,16.9,10.5,6.4,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-13 12:00:00,16.9,11.6,5.3,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-13 18:00:00,19.5,11.8,7.7,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-14 00:00:00,18.0,13.3,4.7,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-14 06:00:00,17.2,12.4,4.8,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-14 12:00:00,16.6,12.1,4.5,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-14 18:00:00,18.8,14.1,4.7,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-15 00:00:00,21.5,15.2,6.3,True
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-15 06:00:00,21.3,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,ECMWF,det,2026-07-15 12:00:00,21.5,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-06-30 12:00:00,11.2,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-06-30 18:00:00,12.3,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-01 00:00:00,10.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-01 06:00:00,8.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-01 12:00:00,7.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-01 18:00:00,8.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-02 00:00:00,10.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-02 06:00:00,12.1,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-02 12:00:00,11.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-02 18:00:00,10.4,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-03 00:00:00,10.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-03 06:00:00,9.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-03 12:00:00,9.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-03 18:00:00,10.4,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-04 00:00:00,11.1,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-04 06:00:00,10.4,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-04 12:00:00,10.5,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-04 18:00:00,11.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-05 00:00:00,11.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-05 06:00:00,11.2,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-05 12:00:00,13.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-05 18:00:00,15.4,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-06 00:00:00,16.3,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-06 06:00:00,16.4,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-06 12:00:00,16.9,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-06 18:00:00,17.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-07 00:00:00,17.9,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-07 06:00:00,17.2,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-07 12:00:00,17.3,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-07 18:00:00,18.5,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-08 00:00:00,18.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-08 06:00:00,16.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-08 12:00:00,15.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-08 18:00:00,16.9,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-09 00:00:00,16.9,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-09 06:00:00,16.4,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-09 12:00:00,16.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-09 18:00:00,18.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-10 00:00:00,18.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-10 06:00:00,18.4,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-10 12:00:00,18.9,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-10 18:00:00,20.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-11 00:00:00,20.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-11 06:00:00,20.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-11 12:00:00,21.3,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-11 18:00:00,23.4,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-12 00:00:00,23.2,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-12 06:00:00,23.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-12 12:00:00,23.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-12 18:00:00,22.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-13 00:00:00,20.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-13 06:00:00,19.9,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-13 12:00:00,19.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-13 18:00:00,19.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-14 00:00:00,20.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-14 06:00:00,19.4,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-14 12:00:00,19.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-14 18:00:00,18.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-15 00:00:00,18.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-15 06:00:00,18.3,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,AIFS,det,2026-07-15 12:00:00,18.5,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-06-30 12:00:00,11.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-06-30 15:00:00,12.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-06-30 18:00:00,13.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-06-30 21:00:00,13.4,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-01 00:00:00,11.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-01 03:00:00,10.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-01 06:00:00,9.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-01 09:00:00,8.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-01 12:00:00,8.5,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-01 15:00:00,10.1,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-01 18:00:00,10.3,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-01 21:00:00,10.5,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-02 00:00:00,11.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-02 03:00:00,11.4,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-02 06:00:00,11.5,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-02 09:00:00,11.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-02 12:00:00,11.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-02 15:00:00,9.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-02 18:00:00,9.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-02 21:00:00,9.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-03 00:00:00,9.4,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-03 03:00:00,9.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-03 06:00:00,8.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-03 09:00:00,8.4,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-03 12:00:00,9.2,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-03 15:00:00,11.5,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-03 18:00:00,11.9,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-03 21:00:00,11.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-04 00:00:00,11.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-04 03:00:00,11.1,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-04 06:00:00,10.9,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-04 09:00:00,11.1,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-04 12:00:00,11.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-04 15:00:00,13.9,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-04 18:00:00,14.5,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-04 21:00:00,14.5,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-05 00:00:00,13.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-05 03:00:00,13.1,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-05 06:00:00,12.5,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-05 09:00:00,11.9,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-05 12:00:00,12.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-05 15:00:00,14.2,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-05 18:00:00,14.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-05 21:00:00,13.4,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-06 00:00:00,12.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-06 03:00:00,12.2,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-06 06:00:00,11.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-06 09:00:00,11.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-06 12:00:00,11.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-06 15:00:00,14.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-06 18:00:00,15.3,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-06 21:00:00,14.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-07 00:00:00,14.1,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-07 03:00:00,13.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-07 06:00:00,13.3,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-07 09:00:00,13.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-07 12:00:00,14.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-07 15:00:00,16.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-07 18:00:00,16.9,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-07 21:00:00,16.4,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-08 00:00:00,15.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-08 03:00:00,15.1,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-08 06:00:00,14.5,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-08 09:00:00,14.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-08 12:00:00,15.1,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-08 18:00:00,17.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-09 00:00:00,16.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-09 06:00:00,16.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-09 12:00:00,16.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-09 18:00:00,18.4,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-10 00:00:00,18.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-10 06:00:00,17.1,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-10 12:00:00,18.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-10 18:00:00,20.3,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-11 00:00:00,19.2,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-11 06:00:00,18.9,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-11 12:00:00,18.9,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-11 18:00:00,21.2,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-12 00:00:00,19.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-12 06:00:00,18.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-12 12:00:00,17.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-12 18:00:00,18.5,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-13 00:00:00,17.5,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-13 06:00:00,15.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-13 12:00:00,15.2,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-13 18:00:00,16.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-14 00:00:00,15.9,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-14 06:00:00,14.2,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-14 12:00:00,13.2,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-14 18:00:00,15.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-15 00:00:00,15.3,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-15 06:00:00,15.5,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-15 12:00:00,13.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-15 18:00:00,15.7,,,False
